districtid,weekid,dose1,dose2
AR_Lower Dibang Valley,19,157,4
AR_Lower Dibang Valley,20,1187,4
AR_Lower Dibang Valley,21,1338,14
AR_Lower Dibang Valley,22,3627,11
AR_Lower Dibang Valley,23,4172,146
AR_Lower Dibang Valley,24,3061,593
AR_Lower Dibang Valley,25,2078,1424
AR_Lower Dibang Valley,26,1290,1387
AR_Lower Dibang Valley,27,1308,858
AR_Lower Dibang Valley,28,575,360
AR_Lower Dibang Valley,29,644,235
AR_Lower Dibang Valley,30,615,507
AR_Lower Siang,1,2,0
AR_Lower Siang,2,0,0
AR_Lower Siang,3,55,0
AR_Lower Siang,4,122,0
AR_Lower Siang,5,200,165
AR_Lower Siang,6,144,1
AR_Lower Siang,7,116,49
