districtid,vaccineratio
JK_Reasi,inf
AR_Lohit,inf
AR_Lepa Rada,inf
AR_Kurung Kumey,inf
AR_Kra Daadi,inf
AR_Kamle,inf
AR_Papum Pare,inf
AR_Longding,inf
AR_East Siang,inf
AR_Upper Dibang Valley,inf
AR_Changlang,inf
JK_Shopiyan,inf
AR_Anjaw,inf
AN_South Andaman,inf
AN_North and Middle Andaman,inf
JK_Udhampur,inf
AR_East Kameng,inf
AR_Lower Dibang Valley,inf
AR_Lower Siang,inf
AR_Lower Subansiri,inf
JK_Budgam,inf
JK_Doda,inf
AR_Tirap,inf
AR_Tawang,inf
JK_Ganderbal,inf
JK_Kathua,inf
LD_Lakshadweep,inf
ML_East Jaintia Hills,inf
LA_Kargil,inf
JK_Kishtwar,inf
JK_Kulgam,inf
JK_Ramban,inf
AR_Siang,inf
AR_Shi Yomi,inf
AR_Papum Pare,inf
AR_Pakke Kessang,inf
AR_Namsai,inf
AR_Upper Subansiri,inf
ML_East Khasi Hills,inf
MZ_Mamit,inf
ML_Ribhoi,inf
OR_Malkangiri,inf
OR_Kendrapara,inf
BR_Madhepura,inf
BR_Lakhisarai,inf
OR_Kandhamal,inf
BR_Kishanganj,inf
BR_Khagaria,inf
OR_Mayurbhanj,inf
OR_Kalahandi,inf
BR_Katihar,inf
BR_Kaimur,inf
OR_Jajpur,inf
OR_Jagatsinghpur,inf
OR_Gajapati,inf
OR_Dhenkanal,inf
OR_Deogarh,inf
OR_Jharsuguda,inf
OR_Cuttack,inf
OR_Nabarangapur,inf
OR_Nuapada,inf
SK_North Sikkim,inf
SK_East Sikkim,inf
BR_West Champaran,inf
DN_Daman,inf
DN_Diu,inf
PY_Puducherry,inf
BR_Sitamarhi,inf
OR_Nayagarh,inf
PY_Mahe,inf
OR_Subarnapur,inf
BR_Sheohar,inf
BR_Sheikhpura,inf
BR_Saharsa,inf
OR_Sambalpur,inf
OR_Rayagada,inf
OR_Puri,inf
PY_Karaikal,inf
BR_Gopalganj,inf
OR_Boudh,inf
OR_Bhadrak,inf
NL_Dimapur,inf
MZ_Saiha,inf
MZ_Serchhip,inf
SK_West Sikkim,inf
MZ_Lunglei,inf
MZ_Lawngtlai,inf
MZ_Kolasib,inf
NL_Kiphire,inf
MZ_Champhai,inf
MZ_Aizawl,inf
ML_West Khasi Hills,inf
ML_West Jaintia Hills,inf
ML_West Garo Hills,inf
ML_South West Khasi Hills,inf
ML_South West Garo Hills,inf
ML_South Garo Hills,inf
MZ_Aizawl,inf
NL_Kohima,inf
NL_Longleng,inf
NL_Mokokchung,inf
OR_Bargarh,inf
OR_Balasore,inf
TR_Dhalai,inf
TR_Khowai,inf
TR_North Tripura,inf
TR_South Tripura,inf
TR_Unokoti,inf
OR_Balangir,inf
OR_Angul,inf
BR_Begusarai,inf
NL_Zunheboto,inf
BR_Arwal,inf
NL_Wokha,inf
NL_Tuensang,inf
NL_Phek,inf
NL_Peren,inf
NL_Mon,inf
ML_North Garo Hills,inf
AN_Nicobars,inf
